t_sec,base_pos_err_m,base_orient_err_rad,mount_x,mount_y,mount_z,int_0,int_1,int_2,int_3,int_4,int_5
0.014998,0.020000110083099404,9.522235110786488e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016349,0.020020556669511698,0.00017775033265886826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017327,0.02000717602231694,6.221261643056255e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01816,0.020002509301263443,2.1774415750621283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019018,0.02000087797280124,7.621045512705513e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019863,0.020000307255853108,2.6673659294423753e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.021603,0.020020640903568875,0.00017911830057076378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022567,0.02000720515186288,6.269140519977314e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023491,0.020002519453391165,2.1941991819922163e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025031,0.02000088152075024,7.679697136976814e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025939,0.02000030849698646,2.6878939979315997e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02678,0.02000010796962378,9.40762899277638e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027642,0.020020691697893504,0.00018022014187834268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028798,0.020007222629387846,6.307704965740797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.029712,0.020002525533676492,2.2076967380091516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.030534,0.020000883644334538,7.72693858298595e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.032741,0.02000030923968773,2.7044285040267124e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.034258,0.020020137319018735,0.00017605618799580695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.036753,0.020007029424381907,6.16196657985048e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.038154,0.02000245801345281,2.1566883029446564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.040253,0.020000860024699817,7.54840906025827e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.041559,0.02000030097434017,2.6419431710504553e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.043773,0.02000010533681657,9.246801098606225e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045272,0.020020224928491863,0.0001774766128328147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.048302,0.020007059723524238,6.211681449142919e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049257,0.020002468573493103,2.174088507196847e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.050727,0.020000863715241023,7.609309775169372e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.053084,0.020000302265359093,2.6632584212925354e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.054598,0.020020039012762832,0.00017650984061714549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.056251,0.020006994797309312,6.17784442160063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.057679,0.020002445867027957,2.162245547560051e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060352,0.02000085577014921,7.567859416467813e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.061976,0.020000299484842967,2.6487507957388794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0635,0.020019905870137855,0.00017600424662981496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.064902,0.020006948243055385,6.160148632038035e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.067474,0.02000242957865138,2.156052021211946e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06897,0.02000085006990568,7.546182074222031e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.071082,0.020000297489842063,2.6411637260023786e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.072483,0.020000104117203012,9.244073040821381e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.074697,0.02001983476092431,0.00017605120475068766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.076123,0.020006923281752513,6.161792166272792e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.079127,0.020002420833242728,2.1566272581943856e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.080043,0.020000847007915927,7.5481954037091e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.081941,0.020000296418011338,2.641868391244525e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08348,0.020019602285903403,0.00017466508267590625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.085599,0.020006842149471314,6.113277893652708e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.086982,0.020002392465654526,2.1396472627771074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.089363,0.02000083708277915,7.488765419699737e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.090719,0.020000292944644647,2.6210678968513683e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.093055,0.0200001025264203,9.173737638438786e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.094473,0.020019592166575038,0.0001752577203746133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.096652,0.020006838417620038,6.134020213102484e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.098128,0.02000239113620206,2.14690707458502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.100284,0.020000836614615183,7.514174761020228e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.101815,0.02000029278043737,2.6299611663285935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.103951,0.020019197293440698,0.00017241074015590001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.105518,0.020006700757610612,6.0343759054538166e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.107585,0.02000234302212936,2.1120315669062248e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.109005,0.020000819782892795,7.3921104841303646e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
